SC,AIF,Nl,RW,Economic_Impact,Environmental_Impact,Social_Impact,EQ0,EQ1,EQ2,EQ3,EQ4,F0,F1,F2,F3
1,50966.63551665416,28,2025.4062111004218,4682882.90799883,126203.09746981034,0.8766095595203462,1,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
4,175000.0,175,1537.5541112324956,15026687.684218436,162500.0,0.7858970084106537,1,1,1,1,1,0.9271193640434026,0.055013909544057014,0.017866726412540425,0.0
1,60770.01588754216,25,2687.6079000014083,5210787.303462669,150478.13457867585,0.999741149126331,1,1,1,1,1,0.8116726390328446,0.15802764729854973,0.030299713668605704,0.0
1,62135.00951772591,26,2310.584192399985,6075958.723931983,153858.11880579754,0.929636331796204,1,1,1,1,1,0.988608242894182,0.0,0.0,0.011391757105817971
4,184925.509957358,178,2670.6233961607927,13601739.616267413,171716.54496040387,0.9965830041206383,1,1,1,1,1,0.9271193640434026,0.055013909544057014,0.017866726412540425,0.0
1,25982.04794323017,25,2661.17390013605,1959665.9163494967,64336.499668950906,0.9948259390360823,1,1,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
4,243842.98380209482,187,2609.4632637821774,20132032.887566358,226425.62781623093,0.9852107221610594,1,1,1,1,1,0.9430730897219213,0.056926910278078745,0.0,0.0
1,64832.438057392385,29,2687.6079000014083,6019838.906946383,160537.465665924,0.999741149126331,1,1,1,1,1,0.9430730897219213,0.056926910278078745,0.0,0.0
1,31316.68854332478,25,1710.8194497712027,2630585.3680932336,77546.08591680424,0.7499326202285952,1,1,1,1,0,0.9077320732532019,0.0,0.08318074321254405,0.009087183534253935
1,27505.366063314585,25,1599.507840914253,2394948.719830144,68108.52549011231,0.7974168540190132,1,1,1,1,1,0.9271193640434026,0.055013909544057014,0.017866726412540425,0.0
1,35421.403947396124,27,1915.7125930882764,3021920.469686419,87710.14310783803,0.8562128287631605,1,1,1,1,1,0.8760174056905897,0.11311423337135777,0.0,0.010868360938052529
1,48704.86032646724,25,1658.1228504033713,4631945.678307071,120602.51128458555,0.5537704343357972,1,1,1,0,0,0.9017938123745619,0.08833468940511696,0.0,0.009871498220321153
1,27987.086268834628,25,2378.74032956058,2061524.3823590148,69301.35647520956,0.9423094699815135,1,1,1,1,1,0.8999710267058004,0.0,0.09017742822196874,0.009851545072230877
1,48734.93842919626,25,2679.4945486288257,4328623.468874771,120676.99039610503,0.9982325304255906,1,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,40212.62586226343,28,1606.479112455236,3752353.874957148,99574.12118274755,0.7987131112784003,1,1,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
1,47839.9237855938,25,2235.086431334714,4326730.17883113,118460.76365956561,0.915598072022074,1,1,1,1,1,0.9151686010985054,0.055098578110874555,0.016971136691736055,0.01276168409888397
4,189991.7765144849,175,2310.584192399985,15359006.931207836,176420.93533487883,0.8955454227052948,0,1,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
4,188857.3972134789,182,1599.507840914253,16444291.427509353,175367.58312680182,0.7974168540190132,1,1,1,1,1,0.9460546260475491,0.026629123699692118,0.0,0.02731625025275868
1,36317.06281385997,29,2221.076772162026,3034746.5890047625,89927.96506289137,0.8675385322996432,1,0,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,42826.60465116102,27,2397.374170715669,3614485.6897454113,106046.8305647797,0.9457742972695555,1,1,1,1,1,0.8941776089265514,0.05397542255292025,0.017529459653871624,0.034317508866656576
1,47974.11992840044,31,2687.6079000014083,4126060.281401675,118793.05887032491,0.999741149126331,1,1,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
4,183668.73996590424,180,1601.944880884009,16308201.799888,170549.54425405397,0.4455972766105024,1,1,0,0,1,0.9715868050586381,0.0,0.02841319494136181,0.0
